time;  gps; ip; nn
150824; 350.8; 351; 352
150914; 348.2; 350; 353
151015; 344.2; 346; 346
151029; 342.0; 345; 345
151100; 336.8; 341; 341
151105; 335.3; 340; 342
151112; 334.0; 339; 342
151133; 328.2; 333; 341
151134; 328.1; 333; 341
151135; 328.2; 332; 341
151137; 327.7; 332; 341
151149; 323.3; 323; 338
151150; 322.7; 322; 338
151151; 322.2; 322; 338
151152; 321.8; 321; 338
151155; 319.8; 320; 338
151159; 317.3; 320; 337
151201; 316.1; 319; 337
151203; 314.6; 317; 335
151217; 301.0; 304; 321
151219; 300.0; 303; 321
151223; 298.7; 301; 321
151224; 299.3; 301; 321
151227; 299.5; 300; 327
151228; 300.0; 300; 327
151234; 298.2; 299; 327
151236; 297.5; 299; 334
151257; 291.3; 292; 335
151301; 289.8; 290; 335
151302; 290.1; 290; 334
151303; 290.0; 289; 334
151304; 289.8; 289; 334
151327; 293.3; 292; 321
151348; 300.8; 300; 307
151353; 301.5; 302; 298
151356; 301.6; 303; 298
151359; 301.7; 304; 298
151500; 311.0; 317; 301
151513; 312.5; 320; 301
151517; 314.3; 320; 301
151520; 318.0; 320; 301
151529; 324.6; 318; 301
151530; 325.0; 319; 301
151531; 325.3; 319; 301
151532; 325.3; 319; 301
151533; 326.0; 319; 301
151534; 326.2; 320; 301
151536; 327.1; 320; 301
151538; 326.7; 321; 301
151550; 328.1; 324; 301
151604; 332.7; 328; 296
151629; 336.7; 333; 302
151730; 335.6; 338; 332
151800; 333.5; 336; 341
151810; 331.7; 334; 341
151839; 324.7; 327; 337
151903; 323.0; 325; 334
152004; 329.1; 328; 323
152105; 313.5; 313; 328
152127; 310.3; 310; 322
152131; 310.7; 309; 322
152134; 314.6; 309; 322
